iter	Passed	Remaining
199	1445	5783
200	1449	5761
201	1451	5735
202	1453	5707
203	1455	5679
204	1457	5653
205	1459	5627
206	1461	5600
207	1464	5577
208	1467	5552
209	1469	5527
210	1471	5500
211	1473	5475
212	1475	5450
213	1478	5431
214	1481	5408
215	1483	5383
216	1485	5359
217	1486	5334
218	1489	5310
219	1491	5288
220	1493	5266
221	1496	5244
222	1498	5221
223	1500	5198
224	1502	5175
225	1504	5154
226	1509	5140
227	1511	5117
228	1513	5095
229	1515	5073
230	1517	5051
231	1519	5031
232	1523	5013
233	1524	4991
234	1527	4971
235	1528	4949
236	1530	4927
237	1532	4907
238	1536	4891
239	1538	4872
240	1540	4851
241	1542	4830
242	1544	4810
243	1546	4790
244	1548	4772
245	1551	4756
246	1554	4737
247	1555	4717
248	1558	4699
249	1560	4680
250	1561	4660
251	1564	4642
252	1566	4624
253	1568	4605
254	1570	4587
255	1572	4569
256	1574	4551
257	1576	4533
258	1580	4522
259	1583	4505
260	1585	4488
261	1587	4470
262	1589	4454
263	1591	4437
264	1594	4421
265	1596	4404
266	1598	4387
267	1600	4370
268	1602	4354
269	1604	4337
270	1607	4324
271	1609	4308
272	1611	4292
273	1613	4276
274	1616	4260
275	1618	4245
276	1620	4229
277	1623	4216
278	1625	4201
279	1627	4186
280	1629	4170
281	1631	4154
282	1633	4137
283	1635	4124
284	1638	4110
285	1640	4094
286	1641	4079
287	1643	4063
288	1645	4047
289	1647	4032
290	1649	4019
291	1652	4006
292	1655	3993
293	1657	3979
294	1659	3965
295	1661	3951
296	1665	3941
297	1667	3928
298	1669	3914
299	1671	3900
300	1673	3885
301	1675	3871
302	1676	3856
303	1679	3845
304	1681	3831
305	1683	3818
306	1685	3805
307	1687	3792
308	1689	3778
309	1694	3771
310	1696	3758
311	1698	3745
312	1700	3732
313	1702	3719
314	1704	3706
315	1707	3696
316	1710	3685
317	1712	3672
318	1714	3659
319	1716	3647
320	1718	3634
321	1719	3621
322	1722	3610
323	1724	3598
324	1726	3586
325	1728	3573
326	1730	3560
327	1732	3548
328	1734	3536
329	1736	3526
330	1739	3514
331	1741	3503
332	1743	3491
333	1745	3480
334	1747	3469
335	1751	3461
336	1753	3449
337	1755	3438
338	1757	3426
339	1759	3415
340	1762	3405
341	1766	3397
342	1768	3386
343	1769	3374
344	1771	3363
345	1773	3352
346	1775	3340
347	1776	3328
348	1779	3318
349	1781	3307
350	1782	3296
351	1784	3285
352	1787	3276
353	1789	3265
354	1791	3254
355	1795	3247
356	1796	3236
357	1798	3225
358	1800	3214
359	1802	3204
360	1804	3193
361	1805	3182
362	1808	3173
363	1810	3164
364	1812	3153
365	1814	3143
366	1816	3132
367	1818	3122
368	1820	3112
369	1823	3105
370	1825	3094
371	1827	3084
372	1829	3074
373	1831	3065
374	1833	3055
375	1836	3047
376	1838	3038
377	1840	3029
378	1842	3019
379	1844	3009
380	1846	3000
381	1848	2990
382	1851	2982
383	1853	2973
384	1855	2964
385	1857	2954
386	1859	2945
387	1861	2936
388	1864	2928
389	1866	2920
390	1868	2911
391	1871	2901
392	1872	2892
393	1874	2883
394	1878	2876
395	1880	2868
396	1882	2859
397	1884	2850
398	1886	2841
399	1888	2832
